Servidor de administración virtual,Grupo,Dispositivo,Placa madre,CPU,"Memoria, en MB",Almacenamiento de datos,"Total, en GB","Total disponible, en GB",Adaptador de video,Controlador de interfaz de red,Tarjeta de sonido,Unidad de disco óptico,Monitor,Dirección IP:,Dirección IPv6
,Matriz,PCF0205,PRIME H310M-K R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,12288,"ST1000DM010-2EP102 188/1000, KINGSTON SA400S37240G 1/240",1240,189,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (40:B0:76:5D:8A:C8),"NVIDIA High Definition Audio, High Definition Audio Device, NVIDIA Virtual Audio Device (Wave Extensible) (WDM)",,"Generic PnP Monitor (AQPK81A000042?Ø), Generic PnP Monitor (109NDTCFV185)",192.168.0.153,N/D
,Matriz,PCF0206,PRIME H310M-K R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,KINGSTON SA400S37240G 115/240,240,115,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (40:B0:76:5D:8E:42),"NVIDIA High Definition Audio, High Definition Audio Device",,Generic PnP Monitor (CN42103SXC),192.168.0.195,N/D
,Matriz,PCF0207,PRIME H310M-K R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 296/480,480,296,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (40:B0:76:5D:8A:A5),"NVIDIA High Definition Audio, High Definition Audio Device",,"Generic PnP Monitor (H7BR301953), Generic PnP Monitor (H7BR301945)",192.168.0.227,N/D
,Matriz,PCF0208,PRIME H310M-K R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37480G 366/480, ST1000DM010-2EP102 706/1000",1480,1072,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (40:B0:76:5D:8E:44),"NVIDIA High Definition Audio, High Definition Audio Device",,"Generic PnP Monitor, Generic PnP Monitor (FZQD51A000470)",192.168.0.246,N/D
,Matriz,PCF0209,PRIME H310M-K R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 427/1000,1000,427,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (40:B0:76:5D:88:99),"NVIDIA High Definition Audio, Realtek High Definition Audio",,"Generic PnP Monitor (3CQ93008P2), Generic PnP Monitor (CNC827236Y)",192.168.0.168,N/D
,Matriz,PCF0210,PRIME H310M-K R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"VK000480GXAWK 334/480, ST1000DM010-2EP102 589/1000",1480,923,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (40:B0:76:5D:8A:80),"Intel(R) Display Audio, High Definition Audio Device",HL-DT-ST DVDRAM GH24NSB0,"Generic PnP Monitor, Generic PnP Monitor",192.168.0.154,N/D
,Matriz,PCF0211,PRIME H310M-K R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37120G 22/120, ST1000DM010-2EP102 966/1000",1120,988,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (40:B0:76:5D:8A:CB),"Intel(R) Display Audio, High Definition Audio Device",,"Generic PnP Monitor, Generic PnP Monitor",192.168.0.158,N/D
,Matriz,PCF0212,PRIME H310M-A R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 388/480,480,388,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:4E:84:10),"Intel(R) Display Audio, Realtek High Definition Audio",,Generic PnP Monitor,192.168.0.187,N/D
,Matriz,PCF0213,PRIME H310M-A R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 769/1000,1000,769,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:92:26:4E:81:5E),"NVIDIA High Definition Audio, Realtek High Definition Audio, NVIDIA Virtual Audio Device (Wave Extensible) (WDM)",,"Generic PnP Monitor (H4TK400610), Generic PnP Monitor (AQPK81A000151?j)",192.168.0.79,N/D
,Matriz,PCF0214,PRIME H310M-A R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"ST1000DM010-2EP102 553/1000, KINGSTON SA400S37480G 400/480",1480,953,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:4E:81:95),"Intel(R) Display Audio, High Definition Audio Device",,"Generic PnP Monitor, Generic PnP Monitor",192.168.0.191,N/D
,Matriz,PCF0215,PRIME H310M-A R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"ST1000DM010-2EP102 255/1000, PM961 NVMe SAMSUNG 512GB 81/512",1512,336,NVIDIA GeForce 210,"VMware Virtual Ethernet Adapter for VMnet1 (00:50:56:C0:00:01), Realtek PCIe GbE Family Controller (04:92:26:4E:81:09), VMware Virtual Ethernet Adapter for VMnet8 (00:50:56:C0:00:08)","Realtek High Definition Audio, NVIDIA High Definition Audio, NVIDIA High Definition Audio, NVIDIA High Definition Audio, NVIDIA High Definition Audio",HL-DT-ST DVDRAM GH24NSB0,"Generic PnP Monitor (CN42132JKK), Generic PnP Monitor (CN42103SW8)",192.168.0.243,N/D
,Matriz,PCF0216,PRIME H310M-A R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 871/1000,1000,871,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:92:26:CD:EB:8F),"NVIDIA High Definition Audio, Realtek High Definition Audio",,"Generic PnP Monitor (3CQ93008NP), Generic PnP Monitor (CNC6510NMQ)",192.168.0.37,N/D
,Matriz,PCF0219,PRIME H310M-A,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"ST500DM002-1BD142 709/1000, KINGSTON SA400S37480G 150/480",1480,859,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (4C:ED:FB:65:CF:AF),"NVIDIA High Definition Audio, High Definition Audio Device",,"Generic PnP Monitor (H4TW200859), Generic PnP Monitor (H4TW200117)",192.168.0.177,N/D
,Matriz,PCF0220,PRIME H310M-A,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 851/1000,1000,851,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (4C:ED:FB:65:CF:BA),"High Definition Audio Device, Intel(R) Display Audio",,Generic PnP Monitor,192.168.0.41,N/D
,Matriz,PCF0224,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37240G 71/240, ST1000DM010-2EP102 908/1000",1240,979,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:D4:C4:AC:95:C0),"NVIDIA High Definition Audio, High Definition Audio Device",,"Generic PnP Monitor, Generic PnP Monitor",192.168.0.196,N/D
,Matriz,PCF0225,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 406/480,480,406,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:D4:C4:AC:95:F6),"NVIDIA High Definition Audio, High Definition Audio Device",,"Generic PnP Monitor (3CQ9300B2C), Generic PnP Monitor (3CQ0500JGF)",192.168.0.151,N/D
,Matriz,PCF0226,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,12288,KINGSTON SA400S37480G 10/480,480,10,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:D4:C4:AC:95:E5),"NVIDIA High Definition Audio, High Definition Audio Device",,"Generic PnP Monitor, Generic PnP Monitor",192.168.0.148,N/D
,Matriz,PCF0228,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 566/1000,1000,566,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D9:F5:33:7C:11),"Sonido Intel(R) para pantallas, High Definition Audio Device",,"Generic PnP Monitor (H4TW200675), Generic PnP Monitor",192.168.0.49,N/D
,Matriz,PCF0230,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 106/480,480,106,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:D4:C4:AC:94:20),"NVIDIA High Definition Audio, Realtek High Definition Audio",,"Generic PnP Monitor (H4TW301046), Generic PnP Monitor (H4TW300872)",192.168.0.48,N/D
,Matriz,PCF0235,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 877/1000,1000,877,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D9:F5:32:7E:B2),"Intel(R) Display Audio, High Definition Audio Device",,Generic PnP Monitor,192.168.0.250,N/D
,Matriz,PCF0237,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"VK000480GXAWK 381/480, ST1000DM010-2EP102 852/1000",1480,1233,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D9:F5:61:CC:CB),"Intel(R) Display Audio, High Definition Audio Device",,"Generic PnP Monitor, Generic PnP Monitor (1CR1361D4W)",192.168.0.205,N/D
,Matriz,PCF0241,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 176/480,480,176,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:D9:F5:61:C9:D2),NVIDIA High Definition Audio,,"Generic PnP Monitor (H4TW400157), HP V214a Monitor (CNC92628BV)",192.168.0.74,N/D
,Matriz,PCF0243,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"ST1000DM010-2EP102 867/1000, KINGSTON SA400S37480G 289/480",1480,1156,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:D9:F5:33:7F:F0),NVIDIA High Definition Audio,,"Generic PnP Monitor (H4TW300730), Generic PnP Monitor (H4TW300717)",192.168.0.92,N/D
,Matriz,PCF0244,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 785/1000,1000,785,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:D9:F5:33:78:B5),NVIDIA High Definition Audio,,"Generic PnP Monitor (H4TW300722), Generic PnP Monitor (H4TW200376)",192.168.0.63,N/D
,Matriz,PCF0245,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37120G 354/480, ST1000DM010-2EP102 808/1000",1480,1162,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:D9:F5:33:79:4D),"NVIDIA High Definition Audio, High Definition Audio Device",,"Generic PnP Monitor (H1AK500000), Generic PnP Monitor (H1AK500000)",192.168.0.235,N/D
,Matriz,PCF0246,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 793/1000,1000,793,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:D9:F5:33:7F:F2),"Dispositivo de High Definition Audio, Realtek High Definition Audio",,"Generic PnP Monitor (CNC333PDN1), Generic PnP Monitor",192.168.0.167,N/D
,Matriz,PCF0247,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37120G 50/120, ST1000DM010-2EP102 882/1000",1120,932,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D9:F5:32:7E:9C),"Intel(R) Display Audio, High Definition Audio Device",,Generic PnP Monitor,192.168.0.193,N/D
,Matriz,PCF0248,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 856/1000,1000,856,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:D9:F5:33:7F:F6),High Definition Audio Device,,"Generic PnP Monitor, Generic PnP Monitor (3CQ0500JJC)",192.168.0.226,N/D
,Matriz,PCF0253,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,KINGSTON SA400S37120G 337/480,480,337,NVIDIA GeForce GT 330M,Realtek PCIe GbE Family Controller (04:92:26:CF:09:28),"NVIDIA High Definition Audio, High Definition Audio Device, NVIDIA Virtual Audio Device (Wave Extensible) (WDM)",,"Generic PnP Monitor, Generic PnP Monitor",192.168.0.150,N/D
,Matriz,PCF0254,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37480G 427/480, ST1000DM010-2EP102 900/1000",1480,1327,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:CF:09:29),"Intel(R) Display Audio, High Definition Audio Device",,Generic PnP Monitor,192.168.0.183,N/D
,Matriz,PCF0256,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,KINGSTON SA400S37120G 135/240,240,135,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:CF:08:4E),Intel(R) Display Audio,,"Generic PnP Monitor, Generic PnP Monitor (CN42103SX7)",192.168.0.54,N/D
,Matriz,PCF0257,PRIME H310M-E R2.0,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,8192,KINGSTON SA400S37480G 311/480,480,311,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:D9:F5:AF:26:AE),"Intel(R) Display Audio, High Definition Audio Device",,"Generic PnP Monitor, Generic PnP Monitor",192.168.0.213,N/D
,Matriz,PCF0259,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 300/480,480,300,NVIDIA GeForce 210,Realtek PCIe GbE Family Controller (04:92:26:4E:36:F1),"High Definition Audio Device, High Definition Audio Device, High Definition Audio Device, High Definition Audio Device",,"Generic PnP Monitor (3CQ93008ND), Generic PnP Monitor (602NTLE39160)",192.168.0.70,N/D
,Matriz,PCF0260,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37240G 146/240, ST1000DM010-2EP102 858/1000",1240,1004,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:92:26:4E:36:F3),"NVIDIA High Definition Audio, High Definition Audio Device",,"Generic PnP Monitor (401NDXQ2J930), Generic PnP Monitor",192.168.0.45,N/D
,Matriz,PCF0261,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,"ST1000DM010-2EP102 824/1000, Patriot Burst Elite 240GB 110/240",1240,934,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:4E:36:64),"Intel(R) Display Audio, High Definition Audio Device",,"Generic PnP Monitor (3CQ0500J4L), Generic PnP Monitor",192.168.0.245,N/D
,Matriz,PCF0262,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,KINGSTON SA400S37240G 131/240,240,131,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:4E:36:C6),"Intel(R) Display Audio, High Definition Audio Device",,"Generic PnP Monitor (H4TW301067), Generic PnP Monitor",192.168.0.51,N/D
,Matriz,PCF0263,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,ST1000DM010-2EP102 271/480,480,271,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:4E:41:ED),Intel(R) Display Audio,,Generic PnP Monitor,192.168.0.8,N/D
,Matriz,PCF0264,PRIME H310M-D R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,KINGSTON SA400S37240G 101/240,240,101,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:92:26:CF:E0:B6),"Intel(R) Display Audio, Realtek High Definition Audio",,"Generic PnP Monitor (H4TW200050), Generic PnP Monitor",192.168.0.223,N/D
,Matriz,PCF0267,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,"ST1000DM010-2EP102 285/1000, KINGSTON SA400S37480G 345/480",1480,630,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (A8:5E:45:2B:49:D6),"NVIDIA High Definition Audio, High Definition Audio Device, NVIDIA Virtual Audio Device (Wave Extensible) (WDM)",,"Generic PnP Monitor, Generic PnP Monitor (3CQ7011P9D)",192.168.0.89,N/D
,Matriz,PCF0269,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 387/480,480,387,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (A8:5E:45:2B:4C:AF),NVIDIA High Definition Audio,,"Generic PnP Monitor (AQPK81A000303), Generic PnP Monitor (3CQ0500J7S)",192.168.0.58,N/D
,Matriz,PCF0273,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37120G 411/480, ST1000DM010-2EP102 943/1000",1480,1354,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (A8:5E:45:68:DC:23),"Intel(R) Display Audio, High Definition Audio Device",,"Generic PnP Monitor, Generic PnP Monitor (AQPK81A000145?m)",192.168.0.236,N/D
,Matriz,PCF0274,843B,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,Intel Optane+466GBSSD 183/500,500,183,Intel(R) UHD Graphics 630,"Realtek RTL8821CE 802.11ac PCIe Adapter (D8:9C:67:DA:E6:3D), Realtek PCIe GbE Family Controller (C8:D9:D2:B8:BB:6B)","Realtek High Definition Audio, Intel(R) Display Audio",hp HLDS DVDRW  GUD1N,"Generic PnP Monitor, Generic PnP Monitor",192.168.0.65,N/D
,Matriz,PCF0275,843B,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,16384,Intel Optane+932GBHDD 753/1000,1000,753,Intel(R) UHD Graphics 630,"Bluetooth Device (Personal Area Network) (D8:9C:67:DB:00:3C), Realtek RTL8821CE 802.11ac PCIe Adapter (D8:9C:67:DB:00:3B), Realtek PCIe GbE Family Controller (C8:D9:D2:B8:B5:47)","Realtek High Definition Audio, Sonido Intel(R) para pantallas",hp HLDS DVDRW  GUD1N,Generic Monitor (1970W),192.168.0.204,N/D
,Matriz,PCF0277,843B,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,12288,Intel Optane+932GBHDD 796/1000,1000,796,Intel(R) UHD Graphics 630,"Realtek RTL8821CE 802.11ac PCIe Adapter (DC:A2:66:51:CC:C7), Realtek PCIe GbE Family Controller (80:CE:62:F2:C9:05)","Realtek High Definition Audio, Sonido Intel(R) para pantallas",hp HLDS DVDRW  GUD1N,"Generic Monitor (S22A33x) (H4TW300835), Generic Monitor (HP P204)",192.168.0.50,N/D
,Matriz,PCF0278,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 338/480,480,338,NVIDIA GeForce 210,Realtek PCIe GbE Family Controller (A8:5E:45:6E:AB:B2),"NVIDIA High Definition Audio, High Definition Audio Device, NVIDIA High Definition Audio, NVIDIA High Definition Audio, NVIDIA High Definition Audio",,"Generic PnP Monitor, Generic PnP Monitor (KPXI91A009784)",192.168.0.78,N/D
,Matriz,PCF0279,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,8192,HS-SSD-C100 480G 195/480,480,195,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (A8:5E:45:6D:81:90),"NVIDIA High Definition Audio, High Definition Audio Device, NVIDIA Virtual Audio Device (Wave Extensible) (WDM)",,"Generic PnP Monitor (AQPK81A000162?]), Generic PnP Monitor (AQPK81A000040)",192.168.0.233,N/D
,Matriz,PCF0280,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,16384,"KINGSTON SA400S37240G 64/240, ST500DM002-1BD142 349/500",740,413,NVIDIA GeForce 210,"Realtek PCIe GbE Family Controller (14:EB:B6:BF:1F:4B), Realtek PCIe GbE Family Controller (A8:5E:45:6D:81:1A)","NVIDIA High Definition Audio, High Definition Audio Device, NVIDIA High Definition Audio, NVIDIA High Definition Audio, NVIDIA High Definition Audio",,"Generic PnP Monitor, Generic PnP Monitor (3CQ0500JCY)",192.168.0.91,N/D
,Matriz,PCF0282,843B,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,8192,"KINGSTON SA400S37120G 27/120, SAMSUNG HD161GJ 94/160",280,121,Intel(R) UHD Graphics 630,"Bluetooth Device (Personal Area Network) (4C:EB:BD:12:DE:A2), Realtek RTL8821CE 802.11ac PCIe Adapter (4C:EB:BD:12:DE:A1), Realtek PCIe GbE Family Controller (04:0E:3C:20:8F:E2)","Realtek High Definition Audio, Intel(R) Display Audio",hp PLDS DVDRW  DU8AESH,"Generic Monitor (1970W), Generic Monitor (1970W)",192.168.0.149,N/D
,Matriz,PCF0284,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,8192,ST1000DM010-2EP102 903/1000,1000,903,NVIDIA GeForce GTX 1050 Ti,Realtek PCIe GbE Family Controller (3C:7C:3F:17:81:75),"High Definition Audio Device, NVIDIA High Definition Audio",,"Generic PnP Monitor (H1AK500000), Generic PnP Monitor",192.168.0.139,N/D
,Matriz,PCF0289,3718,Intel(R) Core(TM) i5-9400T CPU @ 1.80GHz,16384,WDC PC SN520 SDAPMUW-512G-1001 286/512,512,286,Intel(R) UHD Graphics 630,"Bluetooth Device (Personal Area Network) (00:45:E2:16:FC:B6), Realtek PCIe GbE Family Controller (9C:5A:44:99:FE:21), Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC (00:45:E2:16:FC:B5)","Realtek High Definition Audio, Intel(R) Display Audio",PLDS DVD-RW DA8AESH,Generic PnP Monitor,192.168.0.208,N/D
